comment_id,comment
194,Kunu dorker nai re bhai. Emnitei tu durnitir shesh nai.
195,Bangladesh এটা দিয়ে জাব ২০৫০ সালে
196,নিশ্চই কুরআন ঘাইটা আবিষ্কার কইরা লাইছে 😂😂😂😂😂😆😆😆😆
197,বাংলাদেশি যত প্রবাসী ভাই আছে সবাইকে আমার সালাম ঢাকা থেকে ভৈরব আসতে কতখন সময় লাগবো যদি কেউ জানেন তাহলে একটু বলবেন
198,togo allah ar gojob porbe
199,"ভাবতাছি বাংলাদেশে এইটা আমদানি করব☺ 
বাংলাদেশ থেকে পার্শবর্তী দেশ নোয়াখালী তে যাতে খুবই দ্রুত যাওয়া আসা করা যায়৷"
200,Toder news deke mone hocche ai train ta jeno amader desh a asche amader desh news tho ababe onno desh a dekay na
201,"""সজীব ওয়াজেদ জয়ের আইডিয়া চুরি করে ক্যাপসুল বানালো ইতর মাস্ক"" এই ক্যাপশন দেওয়া উচিত ছিল ভিডিওর"
202,টাইটানিক যে বানাইছিল সে ও বলেছিল এটা কখনও ডুবে যাবে না।এখন যদি বলেন ভূমিকম্প ও হলে এই হাইপার লুপের কিছু হবে না। তাইলে তুরা পাগল ছাগল সাংবাদিক।
203,আমাদের হাইপারলুপ লাগবে না আমরা এই শীতে আনাথদের মাঝে শুধু একটা একটা কম্বল চাই।😥😥
204,Why is the video resolution so low? You don't have a high speed internet connection or what? Wow...
205,তোদের ভিডিও রে কি শয়তানে পোন্দাইছে এমন বাজে কেন
206,"বাঙালিরা নসিমন, করিমন চালিয়ে চাদের দেশে যাবে😂😂😂😹"
207,Aro  soto soto bosor   pora asba.....coming soon...
208,জয় বাংলা
209,You are crazy!you no idea about air bus.
210,অাসসালামুঅালাইকুম।এটা মিজানুর রহমান অাজহারী হুজুরের Youtube চ্যানেল।অাসা করি একবার দেখে অাসবেন👉https://www.youtube.com/channel/UCvKMiJCFa4xdOeiKv63IhAA
211,Bangladesh e aeta aroooo 100 boshor pore ashbo
212,বাংলাদেশে কবে আসবে এটা?
213,শিক্ষকঃ কিরে আজ তাড়াতাড়ি স্কুলে আসলে?ছাত্র: আমগো এলাকায় হাইপারলুপ চালু হয়েছে আজ
214,হাইপারলুপ কে বানিয়েছে আওয়ামিলীগ সরকার।
215,আর আমাদের রংপুর থেকে ঢাকা যাইতে ১২ ঘন্টা লাগে ট্রেনে মাত্র ৩শ কিমি।😄
216,Hai hai deke vabcih ay deshe asbe. Pore abar mathai aslo ata tuuh Bangladesh 😂😂
217,যুক্তরাষ্ট্রে লস এঞ্জেল আছে আজ জানতে পারলাম!  😂😂😂😂
218,Vuya sop.age banaok
219,২৮ জন ধারন ক্ষমতা হলে আমরা বাজারে করে ফিরব কিভাবে।আলু পেয়াজ কই রাখব🤣
220,অন্যদেশে যাবে আমরা কি পাবো চোর কতগুলা।
221,"জিবনে তো অানেক ভিডিও দেখেছেন। প্লিজ এই ভিডিও টা দেখুন।
https://youtu.be/zHDy4IJlkLs"
222,End time is coming. May Allah protect us from Fitnah of Dajjal  This would be the dajjalic invention.
223,তাহলে বিমানের কি অবস্তা হবে?
224,"এটা সরকারের চাল,, মানুষকে ধুকা দিচ্ছে, যেন আবার ভোট চুরি করার সুযোগ পাই,, পঙ্গবন্ধুর কন্যা শেখ হুশিনা"
225,মাশা আল্লাহ অসাধারণ আইডিয়া এই দিন দেখার অপেক্ষায় ছিলাম আল্লাহ কামিয়াব করুন☝
226,"এটি আমাদের সজিব ওয়াজেদ জয়ের মাথায় আসছিল, পকেটে টাকা না থাকায় আবিষ্কার করতে পারে নি বেচারা"
227,"Thanks For Subtitle......Hyper-loop Capsule..........2041 This Project Will Available In India......
It's Too Late
Allah Will Help All Japanese Muslim's For Upcoming Project's"
228,ঢেমু ট্রেনের মতই হবে এটা তিন বছর চলার পর নষ্ট হয়ে যাবে
229,Good
230,Owo
231,আলহামদুলিল্লাহ
232,এগুলা দেইখা লাভ নাই এগুলা সোউদিতে আছবে বাংলাদেশে না😂😂
233,India te 20019 shale haypar loop er kaj soru kore diyeche...R Bangla desh akhon news bekhache...sabash Bangladesh er mida.... Tora ki ghumaish khankir chelera
234,emon bhave dekaitashen mone hoitashe jeno bangladeshey aitashe ..kikikikik
235,Wow
236,Amder dese to hobe nai tai a kotha chinta korew kono lav nai😡😡
237,Ami babsi Bangladesh 🇧🇩
238,"https://youtu.be/mrhBYZPKMs4

👆"
239,ভিডিও এত খারাপ কেন?
240,Ok
241,great
242,দূর পাগলের দল
243,Bangladesh এর বদনাম করছ😡😡😡যা ইন্ডিয়া তে চলে যা😡😡😡🤬🤬🤬
244,Bangladesh e kobe ashbe?
245,Bangladesh e na!
246,manush jekhanei jay sekhanei desher durnam korar sujog khoje....😠. are vai amader moto chotto deshe ei projuktir kono dorkar nei...
247,আমি এলনমাস্ক সমন্ধে আরো বেশি জানতে চাই।
248,"উপস্থাপক হাইপারলুপ ক্যাপসুল কে বলে সাইপারলুপ, শালা ব*ক*চ*দ"
249,মনে করলাম বাংলাদেশ ও হাইপারলুপ আনছে। ফালতু নিউজ। আরও ৭ বছর আগেই জানি হাইপারলুপ সমর্পে
250,পৃথিবীর অন্য দেশে সব চলবে কিন্তু বাংলাদেশে না। কারন এদেশে ভাল কোন প্রযুক্তি ভাল ফল দিতে পারেনা। যে দেশের সিম কোম্পানি গুলো এখনো ফোরজি স্পিড দিতে পারেনা সেই দেশে এগুলো স্বপ্ন দেখাও জায়েজ নাই।। বুলেট ট্রেন আসেনি এখনো। কোন ভাল যন্ত্র এলে জনগণের সাথে কতৃপক্ষ মিলে যন্ত্রের বারো বাজাবে। মেরামতের নামে টাকা মেরে দেবে। এদেশে ভাল কিছু আশা করা গুনাহ।
251,Bangladesh a aiti asar Moto jaiga nay... Start diye abar off kore pelta hobe... Karon start ar off korar majkhaner somoy rukor modde bd simanto sesh.
252,Good News..🤫
